name,id,password,department,role,shift,work_time,break_time,ot_time,income_per_month,total_money,late_time,login_time,logout_time,leave_days,ot_pay_per_hour,manager_id
Sengmany Douangdala,1011,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operations,Staff,Morning,09:00,12:00,17:00,2785044,2872544,10,2026-06-08 09:08:00,2026-06-08 19:30:00,8,35000,1022
Bounmy Phanthavong,1012,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Support,Staff,Morning,09:00,12:00,17:00,2239753,2249753,6,2026-06-08 09:09:00,2026-06-08 17:30:00,4,20000,1004
Phetsamone Latsamy,1013,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sales,Staff,Morning,09:00,12:00,17:00,4339906,4419906,9,2026-06-08 09:10:00,2026-06-08 19:00:00,4,40000,1010
Sengdao Vongdala,1014,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,IT,Manager,Morning,09:00,12:00,17:00,3647243,3657243,3,2026-06-08 09:07:00,2026-06-08 17:15:00,6,40000,
Ketsana Latsamy,1015,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HR,HR,Morning,09:00,12:00,17:00,2837229,2849729,3,2026-06-08 09:06:00,2026-06-08 17:30:00,3,25000,
Viengkham Xayavong,1016,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,Staff,Morning,09:00,12:00,17:00,4623304,4628304,3,2026-06-08 09:01:00,2026-06-08 17:15:00,3,20000,1028
Keomany Bounthavong,1017,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operations,Staff,Morning,09:00,12:00,17:00,3434744,3464744,10,2026-06-08 09:09:00,2026-06-08 18:00:00,6,30000,1016
Phetsamone Phommasane,1018,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Support,Staff,Morning,09:00,12:00,17:00,3537317,3577317,1,2026-06-08 09:02:00,2026-06-08 19:00:00,7,20000,1016
Lamphoun Vongsay,1019,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sales,Manager,Morning,09:00,12:00,17:00,4693933,4703933,5,2026-06-08 09:06:00,2026-06-08 17:30:00,3,20000,
Douangdy Phimmasone,1020,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,IT,HR,Morning,09:00,12:00,17:00,3450855,3468355,6,2026-06-08 09:09:00,2026-06-08 17:30:00,10,35000,
Chanthala Douangdala,1021,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HR,Staff,Morning,09:00,12:00,17:00,2772784,2792784,6,2026-06-08 09:09:00,2026-06-08 17:30:00,7,40000,1010
Souksavanh Phanthavong,1022,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,Staff,Morning,09:00,12:00,17:00,2956189,3061189,9,2026-06-08 09:05:00,2026-06-08 20:00:00,10,35000,1028
Phouvong Latsamy,1023,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operations,Staff,Morning,09:00,12:00,17:00,3829959,3859959,9,2026-06-08 09:05:00,2026-06-08 18:30:00,5,20000,1004
Vannasone Phimmasone,1024,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Support,Manager,Morning,09:00,12:00,17:00,4272950,4292950,9,2026-06-08 09:04:00,2026-06-08 18:00:00,3,20000,
Maly Souvannavong,1025,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sales,HR,Morning,09:00,12:00,17:00,4302008,4382008,5,2026-06-08 09:10:00,2026-06-08 19:00:00,4,40000,
Bounmy Souvannavong,1026,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,IT,Staff,Morning,09:00,12:00,17:00,3408338,3468338,9,2026-06-08 09:10:00,2026-06-08 19:00:00,6,30000,1028
Souvanna Latsamy,1027,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HR,Staff,Morning,09:00,12:00,17:00,2992855,3011605,1,2026-06-08 09:04:00,2026-06-08 17:45:00,3,25000,1028
Ketsana Douangdala,1028,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,Staff,Morning,09:00,12:00,17:00,4169710,4219710,1,2026-06-08 09:04:00,2026-06-08 19:00:00,3,25000,1016
Sengmany Phanthavong,1029,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operations,Manager,Morning,09:00,12:00,17:00,4454279,4464279,1,2026-06-08 09:03:00,2026-06-08 17:30:00,6,20000,
Souksavanh Souvannavong,1030,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Support,HR,Morning,09:00,12:00,17:00,4184346,4201846,6,2026-06-08 09:05:00,2026-06-08 17:30:00,6,35000,
